"BehaviorSpace results (NetLogo 5.3)"
"war of attrition.nlogo"
"experiment"
"02/21/2016 20:25:59:501 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","V","x1","x2","dynamic?","[step]","[u] of player 0","[u] of player 1"
"162","50","2","62","false","0","-2","48"
"163","50","2","63","false","0","-2","48"
"164","50","2","64","false","0","-2","48"
"165","50","2","65","false","0","-2","48"
"166","50","2","66","false","0","-2","48"
"167","50","2","67","false","0","-2","48"
"168","50","2","68","false","0","-2","48"
"169","50","2","69","false","0","-2","48"
"170","50","2","70","false","0","-2","48"
"171","50","2","71","false","0","-2","48"
"172","50","2","72","false","0","-2","48"
"173","50","2","73","false","0","-2","48"
"175","50","2","75","false","0","-2","48"
"174","50","2","74","false","0","-2","48"
"176","50","2","76","false","0","-2","48"
"177","50","2","77","false","0","-2","48"
"178","50","2","78","false","0","-2","48"
"179","50","2","79","false","0","-2","48"
"180","50","2","80","false","0","-2","48"
"181","50","2","81","false","0","-2","48"
"182","50","2","82","false","0","-2","48"
"183","50","2","83","false","0","-2","48"
"184","50","2","84","false","0","-2","48"
"185","50","2","85","false","0","-2","48"
"186","50","2","86","false","0","-2","48"
"187","50","2","87","false","0","-2","48"
"188","50","2","88","false","0","-2","48"
"189","50","2","89","false","0","-2","48"
"190","50","2","90","false","0","-2","48"
"191","50","2","91","false","0","-2","48"
"192","50","2","92","false","0","-2","48"
"193","50","2","93","false","0","-2","48"
"195","50","2","95","false","0","-2","48"
"196","50","2","96","false","0","-2","48"
"194","50","2","94","false","0","-2","48"
"197","50","2","97","false","0","-2","48"
"198","50","2","98","false","0","-2","48"
"201","50","3","1","false","0","49","-1"
"200","50","2","100","false","0","-2","48"
"202","50","3","2","false","0","48","-2"
"203","50","3","3","false","0","22","22"
"199","50","2","99","false","0","-2","48"
"204","50","3","4","false","0","-3","47"
"205","50","3","5","false","0","-3","47"
"207","50","3","7","false","0","-3","47"
"208","50","3","8","false","0","-3","47"
"206","50","3","6","false","0","-3","47"
"210","50","3","10","false","0","-3","47"
"209","50","3","9","false","0","-3","47"
"211","50","3","11","false","0","-3","47"
"212","50","3","12","false","0","-3","47"
"214","50","3","14","false","0","-3","47"
"213","50","3","13","false","0","-3","47"
"215","50","3","15","false","0","-3","47"
"217","50","3","17","false","0","-3","47"
"216","50","3","16","false","0","-3","47"
"218","50","3","18","false","0","-3","47"
"219","50","3","19","false","0","-3","47"
"222","50","3","22","false","0","-3","47"
"220","50","3","20","false","0","-3","47"
"221","50","3","21","false","0","-3","47"
"223","50","3","23","false","0","-3","47"
"225","50","3","25","false","0","-3","47"
"224","50","3","24","false","0","-3","47"
"226","50","3","26","false","0","-3","47"
"227","50","3","27","false","0","-3","47"
"228","50","3","28","false","0","-3","47"
"229","50","3","29","false","0","-3","47"
"230","50","3","30","false","0","-3","47"
"231","50","3","31","false","0","-3","47"
"232","50","3","32","false","0","-3","47"
"233","50","3","33","false","0","-3","47"
"234","50","3","34","false","0","-3","47"
"235","50","3","35","false","0","-3","47"
"236","50","3","36","false","0","-3","47"
"237","50","3","37","false","0","-3","47"
"238","50","3","38","false","0","-3","47"
"239","50","3","39","false","0","-3","47"
"240","50","3","40","false","0","-3","47"
"242","50","3","42","false","0","-3","47"
"241","50","3","41","false","0","-3","47"
"244","50","3","44","false","0","-3","47"
"245","50","3","45","false","0","-3","47"
"243","50","3","43","false","0","-3","47"
"246","50","3","46","false","0","-3","47"
"247","50","3","47","false","0","-3","47"
"248","50","3","48","false","0","-3","47"
"249","50","3","49","false","0","-3","47"
"250","50","3","50","false","0","-3","47"
"251","50","3","51","false","0","-3","47"
"252","50","3","52","false","0","-3","47"
"253","50","3","53","false","0","-3","47"
"254","50","3","54","false","0","-3","47"
"258","50","3","58","false","0","-3","47"
"257","50","3","57","false","0","-3","47"
"256","50","3","56","false","0","-3","47"
"259","50","3","59","false","0","-3","47"
"260","50","3","60","false","0","-3","47"
"255","50","3","55","false","0","-3","47"
"261","50","3","61","false","0","-3","47"
"263","50","3","63","false","0","-3","47"
"264","50","3","64","false","0","-3","47"
"262","50","3","62","false","0","-3","47"
"265","50","3","65","false","0","-3","47"
